hotspot_id,latitude,longitude,h3_cell,timestamp,year,month,day_of_year,day_of_week,is_night,month_sin,month_cos,bright_ti4,bright_ti5,frp,confidence_encoded,scan,track,log_frp,thermal_difference,observation_count_7d,observation_count_30d,observation_count_90d,active_days_7d,active_days_30d,active_days_90d,mean_frp_7d,mean_frp_30d,mean_frp_90d,median_frp_30d,std_frp_30d,max_frp_30d,max_frp_90d,days_since_first_seen,days_since_previous_detection,has_history_7d,has_history_30d,has_history_90d,frp_deviation,frp_ratio_to_baseline,frp_z_score,industrial_context_score,mining_context_score,industrial_polygon_overlap,mining_polygon_overlap,forest_polygon_overlap,agriculture_polygon_overlap,nearest_facility_type_encoded,type,daynight,target_class,label_source,label_confidence,bright_ti4_to_ti5_ratio,frp_per_pixel,thermal_anomaly_strength,forest_AND_high_frp,industrial_AND_active,frp_growth_rate,frp_consistency,sample_weight
EVENT_00000059,17.60548,83.20306,873c930a3ffffff,2022-01-01 07:38:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,338.68,305.74,5.0,1,0.39,0.36,1.791759469228055,32.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.107738597802909,35.612281963803675,0.05111573189671994,0.0,0.0,0.0,0.0,0.2
EVENT_00000077,20.95206,86.04935,873c8e8ebffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,326.45,296.92,2.49,1,0.45,0.39,1.249901736214336,29.529999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.099454394788312,14.187953344995185,0.047371544913339475,0.0,0.0,0.0,0.0,0.2
EVENT_00000122,22.21199,84.86732,873c8535bffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,334.87,296.69,2.55,1,0.42,0.38,1.2669476034873244,38.18000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.128686503998495,15.977343500354007,0.06045348017535394,0.0,0.0,0.0,0.0,0.2
EVENT_00000100,21.17904,81.38602,873cb0371ffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,336.02,297.15,3.81,1,0.4,0.37,1.57069708411767,38.870000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.130809351738821,25.743069303585788,0.061389516146707034,0.0,0.0,0.0,0.0,0.2
EVENT_00000124,21.92345,83.35126,873c84a90ffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,328.13,299.92,4.65,0,0.39,0.36,1.7316555451583495,28.20999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.25,0.0,True,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.094058411929653,33.11942222633742,0.04491680591526658,0.0,0.0,0.0,0.0,0.2
EVENT_00000121,22.21143,84.86327,873c8535bffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,327.31,299.03,2.55,1,0.42,0.38,1.2669476034873244,28.28000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.0945724472642464,15.977343500354007,0.04515119576404004,0.0,0.0,0.0,0.0,0.2
EVENT_00000099,21.19684,81.41832,873cb0363ffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,331.42,299.6,6.43,1,0.4,0.37,2.005525858729668,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1062082740113208,43.44565239424058,0.05042629385688837,0.0,0.0,0.0,0.0,0.2
EVENT_00000127,21.98426,83.23431,873c8416cffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,325.59,299.67,2.29,0,0.39,0.36,1.1908875647772803,25.91999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.0864951410334862,16.310425139422083,0.04145475475569396,0.0,0.0,0.0,0.0,0.2
EVENT_00000079,20.79439,85.25431,873c83b5dffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,333.6,298.73,10.48,1,0.42,0.38,2.4406063908914204,34.870000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1167274759256605,65.66374897400392,0.055145256345349336,0.0,0.0,0.0,0.0,0.2
EVENT_00000096,21.76421,84.02563,873c85430ffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,339.66,298.91,4.13,1,0.4,0.37,1.6351056591826785,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1363286569993354,27.905216856642863,0.06381446033510114,0.0,0.0,0.0,0.0,0.2
EVENT_00000107,19.01564,72.90873,87608b191ffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,331.0,297.42,3.5,1,0.42,0.61,1.5040773967762742,33.579999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1129043066609363,13.661148863587576,0.05343560030960883,0.0,0.0,0.0,0.0,0.2
EVENT_00000089,19.01461,72.90385,87608b19cffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,334.64,298.49,3.5,1,0.42,0.61,1.5040773967762742,36.14999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1211095811547804,13.661148863587576,0.05709727850978898,0.0,0.0,0.0,0.0,0.2
EVENT_00000092,22.00509,82.6726,873ca26c3ffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,327.12,298.97,2.17,0,0.38,0.36,1.1537315878891892,28.149999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.0941566006818189,15.862457145781097,0.04496158692047212,0.0,0.0,0.0,0.0,0.2
EVENT_00000136,19.60769,82.46291,873c95c4bffffff,2022-01-01 07:39:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,330.42,298.58,3.05,1,0.39,0.36,1.3987168811184478,31.840000000000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,0,D,forest_fire,FIRMS_type0_weak_proxy,0.45,1.1066380832385356,21.72349199792024,0.050620031716025436,0.0,0.0,0.0,0.0,0.45
