dataset,target_class,count
master,industrial_persistent,0
master,industrial_spike,0
master,non_industrial,15000
master,forest_fire,15000
master,ag_burning,0
master,unknown,10580
train,industrial_persistent,0
train,industrial_spike,0
train,non_industrial,9925
train,forest_fire,10081
train,ag_burning,0
train,unknown,7824
validation,industrial_persistent,0
validation,industrial_spike,0
validation,non_industrial,3012
validation,forest_fire,3978
validation,ag_burning,0
validation,unknown,1123
test,industrial_persistent,0
test,industrial_spike,0
test,non_industrial,2063
test,forest_fire,941
test,ag_burning,0
test,unknown,1633
