hotspot_id,latitude,longitude,h3_cell,timestamp,year,month,day_of_year,day_of_week,hour,minute,is_night,hour_sin,hour_cos,month_sin,month_cos,bright_ti4,bright_ti5,frp,confidence_encoded,scan,track,log_frp,thermal_difference,observation_count_7d,observation_count_30d,observation_count_90d,active_days_7d,active_days_30d,active_days_90d,mean_frp_7d,mean_frp_30d,mean_frp_90d,median_frp_30d,std_frp_30d,max_frp_30d,max_frp_90d,days_since_first_seen,days_since_previous_detection,has_history_7d,has_history_30d,has_history_90d,frp_deviation,frp_ratio_to_baseline,frp_z_score,industrial_context_score,mining_context_score,industrial_polygon_overlap,mining_polygon_overlap,forest_polygon_overlap,agriculture_polygon_overlap,distance_to_seed_facility_m,nearest_facility_type_encoded,type,daynight,target_class,label_source,label_confidence
EVENT_01212054,27.55878,96.03777,873c5aa09ffffff,2024-01-12 18:33:00,2024,1,12,4,18,33,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,305.15,282.13,0.68,1,0.45,0.63,0.5187937934151675,23.019999999999982,6.0,27.0,64.0,6.0,22.0,49.0,0.6133333333333333,0.617037037037037,0.56984375,0.6100000000000001,0.20293795466366735,1.06,1.18,741.0055555555556,0.9868055555555556,1,1,1,0.062962962962963,1.1020408163265307,0.3102572067768823,0.0,0.0,False,False,False,False,,1,2,N,non_industrial_thermal_activity,FIRMS_type2_without_industrial_evidence,0.4
EVENT_00232773,23.37037,81.4444,873ca6166ffffff,2022-04-01 20:22:00,2022,4,91,4,20,22,1,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,305.53,294.13,0.79,1,0.41,0.37,0.5822156198526637,11.399999999999977,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.5194444444444445,0.0,0,0,0,,,,0.0,0.0,False,False,False,False,,1,0,N,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_01728730,23.65077,80.59611,873d99098ffffff,2024-11-29 08:23:00,2024,11,334,4,8,23,0,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,330.58,296.97,2.32,1,0.35,0.57,1.199964782928397,33.60999999999996,0.0,1.0,1.0,0.0,1.0,1.0,,4.44,4.44,4.44,0.0,4.44,4.44,976.0506944444444,14.025694444444444,0,1,1,-2.1200000000000006,0.5225225225225224,,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_00438174,32.58853,76.05647,873d306c9ffffff,2022-06-05 20:01:00,2022,6,156,6,20,1,1,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,312.48,291.55,1.36,1,0.37,0.58,0.8586616190375187,20.930000000000007,0.0,3.0,3.0,0.0,2.0,2.0,,4.043333333333333,4.043333333333333,4.422499999999999,1.0752467417088756,5.56,5.56,21.520138888888887,0.0,0,1,1,-2.6833333333333327,0.3363561417971971,-2.495551234192764,0.0,0.0,False,False,False,False,,1,0,N,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_00448734,23.72013,86.45072,873ca9c9affffff,2022-07-08 19:43:00,2022,7,189,4,19,43,1,-0.9659258262890684,0.2588190451025203,-0.4999999999999997,-0.8660254037844388,310.31,293.94,2.05,1,0.43,0.38,1.1151415906193203,16.370000000000005,6.0,18.0,63.0,4.0,11.0,39.0,2.545,3.1272222222222226,3.072380952380952,2.09,1.8833268600347617,6.91,10.18,187.98333333333332,0.9868055555555556,1,1,1,-1.0772222222222227,0.655533842600817,-0.5719783671552052,0.0,0.0,False,False,False,False,,1,2,N,non_industrial_thermal_activity,FIRMS_type2_without_industrial_evidence,0.4
EVENT_00975804,21.19176,81.41601,873cb0344ffffff,2023-05-03 19:39:00,2023,5,123,2,19,39,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,-0.8660254037844387,344.24,289.73,17.07,1,0.64,0.54,2.8942531046041373,54.50999999999999,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,485.9923611111111,0.0,0,0,0,,,,0.0,0.0,False,False,False,False,,1,2,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_01163685,19.96314,79.33418,8760b26f5ffffff,2023-12-02 19:45:00,2023,12,336,5,19,45,1,-0.9659258262890684,0.2588190451025203,-2.4492935982947064e-16,1.0,314.95,286.01,1.92,1,0.33,0.55,1.0715836162801904,28.939999999999998,7.0,22.0,52.0,4.0,16.0,36.0,2.6128571428571425,2.2190909090909092,1.9546153846153846,2.0575,1.2630695262332843,4.71,5.0,699.9833333333333,0.9868055555555556,1,1,1,-0.2990909090909093,0.865219172470299,-0.23679686896006097,0.0,0.0,False,False,False,False,,1,2,N,non_industrial_thermal_activity,FIRMS_type2_without_industrial_evidence,0.4
EVENT_00045668,19.01429,72.9082,87608b191ffffff,2022-02-21 20:54:00,2022,2,52,0,20,54,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,304.33,293.28,0.89,1,0.42,0.38,0.636576829071551,11.050000000000011,1.0,2.0,3.0,1.0,2.0,3.0,4.07,3.055,3.203333333333333,3.055,1.015,4.07,4.07,51.552083333333336,2.495138888888889,1,1,1,-2.165,0.29132569558101473,-2.1330049261083746,0.0,0.0,False,False,False,False,,1,2,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_01763091,21.93112,85.21674,873caa49cffffff,2024-12-19 19:36:00,2024,12,354,3,19,36,1,-0.9659258262890684,0.2588190451025203,-2.4492935982947064e-16,1.0,296.93,280.78,1.05,1,0.57,0.43,0.7178397931503169,16.150000000000034,1.0,9.0,18.0,1.0,9.0,17.0,0.97,1.1366666666666665,1.0772222222222223,0.97,0.40144184579532277,1.8,1.8,1063.9472222222223,1.9743055555555555,1,1,1,-0.08666666666666645,0.9237536656891497,-0.21588847195280658,0.0,0.0,False,False,False,False,,1,2,N,non_industrial_thermal_activity,FIRMS_type2_without_industrial_evidence,0.4
EVENT_00583252,21.71157,82.63721,873c84d88ffffff,2022-12-15 07:15:00,2022,12,349,3,7,15,0,0.9659258262890683,-0.25881904510252063,-2.4492935982947064e-16,1.0,338.58,295.72,4.87,1,0.45,0.47,1.7698546338400052,42.85999999999996,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0,0,0,,,,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
