case_id,h3_cell,relation,ring,total_detections,active_days,active_months,avg_frp,median_frp,max_frp,p95_frp,detections_2022,detections_2023,detections_2024,case_type,latitude,longitude,detections_per_active_day,frp_range
CASE_01,873ca9c86ffffff,center,0,4841,823,12,2.9160483371204298,2.26,18.53,7.14,1245,1713,1883,persistent,23.77988,86.38999,5.882138517618469,16.270000000000003
CASE_01,873ca9c82ffffff,neighbor,1,930,547,12,1.9328817204301074,1.69,9.05,3.9354999999999998,370,321,239,persistent,23.77988,86.38999,1.70018281535649,7.360000000000001
CASE_01,873ca9c95ffffff,neighbor,1,4550,814,12,3.073723076923077,2.46,18.87,7.312000000000007,993,1704,1853,persistent,23.77988,86.38999,5.58968058968059,16.41
CASE_01,873ca9cb1ffffff,neighbor,1,1091,605,12,1.9292758936755272,1.79,5.92,3.51,301,388,402,persistent,23.77988,86.38999,1.8033057851239669,4.13
CASE_01,873ca9cb3ffffff,neighbor,1,3190,747,12,2.3082413793103447,1.96,13.5,5.015499999999997,853,1298,1039,persistent,23.77988,86.38999,4.270414993306559,11.54
CASE_02,873c84a90ffffff,center,0,2998,795,12,3.530880587058039,3.02,17.39,7.701500000000001,1002,1086,910,persistent,21.92001,83.35004,3.771069182389937,14.370000000000001
CASE_02,873c84a94ffffff,neighbor,1,741,429,12,3.0731039136302294,2.76,14.58,5.72,275,267,199,persistent,21.92001,83.35004,1.7272727272727273,11.82
CASE_03,873c817b2ffffff,center,0,6551,817,12,3.0545931918791025,2.48,20.43,7.0649999999999995,2479,2711,1361,persistent,20.96012,85.17001,8.018359853121176,17.95
CASE_03,873c814cdffffff,neighbor,1,1008,462,12,2.1196130952380954,1.62,10.18,5.15,620,193,195,persistent,20.96012,85.17001,2.1818181818181817,8.559999999999999
CASE_03,873c817b0ffffff,neighbor,1,17,17,9,1.9705882352941178,1.63,4.75,4.109999999999999,1,5,11,persistent,20.96012,85.17001,1.0,3.12
CASE_03,873c817b3ffffff,neighbor,1,50,46,10,1.3144,1.2850000000000001,3.67,1.831,13,26,11,persistent,20.96012,85.17001,1.0869565217391304,2.385
CASE_03,873c817b6ffffff,neighbor,1,2191,668,12,2.278959379278868,1.91,15.88,4.855,753,825,613,persistent,20.96012,85.17001,3.279940119760479,13.97
CASE_04,873ca0402ffffff,center,0,2196,755,12,2.591193078324226,2.1,12.98,6.16,830,476,890,persistent,23.17003,82.34002,2.908609271523179,10.88
CASE_05,873cabc1affffff,center,0,2121,721,12,2.633182461103253,2.04,22.6,6.32,746,727,648,persistent,22.79002,86.20011,2.941747572815534,20.560000000000002
CASE_05,873cabc18ffffff,neighbor,1,997,479,12,4.351935807422267,2.44,63.4,13.541999999999998,429,310,258,persistent,22.79002,86.20011,2.081419624217119,60.96
CASE_05,873cabc1effffff,neighbor,1,1409,641,12,2.450723917672108,1.99,20.52,5.395999999999999,494,495,420,persistent,22.79002,86.20011,2.1981279251170047,18.53
CASE_06,8742d9d2effffff,center,0,6247,894,12,5.4079206018889066,4.18,59.66,13.73,1932,2115,2200,persistent,21.11006,72.63004,6.987695749440716,55.48
CASE_06,8742d9d05ffffff,neighbor,1,11,11,8,5.346363636363637,5.37,8.57,8.280000000000001,0,1,10,persistent,21.11006,72.63004,1.0,3.2
CASE_06,8742d9d21ffffff,neighbor,1,2,2,2,1.62,1.62,2.6,2.502,1,1,0,persistent,21.11006,72.63004,1.0,0.98
CASE_06,8742d9d23ffffff,neighbor,1,6,6,4,3.2183333333333333,2.36,8.12,7.114999999999999,3,2,1,persistent,21.11006,72.63004,1.0,5.76
CASE_06,8742d9d2affffff,neighbor,1,371,287,12,5.271940700808625,4.33,27.42,12.675,128,121,122,persistent,21.11006,72.63004,1.2926829268292683,23.090000000000003
CASE_07,873c8d8aeffffff,center,0,1619,708,12,2.370024706609018,1.95,13.8,5.51,420,547,652,persistent,22.38007,87.28001,2.286723163841808,11.850000000000001
CASE_07,873c8d885ffffff,neighbor,1,2,2,2,0.99,0.99,1.13,1.1159999999999999,0,1,1,persistent,22.38007,87.28001,1.0,0.1399999999999999
CASE_07,873c8d8a1ffffff,neighbor,1,254,191,12,1.972992125984252,1.935,4.22,3.207,33,64,157,persistent,22.38007,87.28001,1.3298429319371727,2.2849999999999997
CASE_07,873c8d8a8ffffff,neighbor,1,802,462,12,2.232219451371571,1.86,10.22,4.827499999999997,29,375,398,persistent,22.38007,87.28001,1.7359307359307359,8.360000000000001
CASE_07,873c8d8aaffffff,neighbor,1,759,479,12,2.6383135704874836,2.08,12.63,6.284000000000002,127,277,355,persistent,22.38007,87.28001,1.5845511482254697,10.55
CASE_07,873c8d8acffffff,neighbor,1,56,52,10,1.1541071428571428,0.98,2.93,2.4175,31,12,13,persistent,22.38007,87.28001,1.0769230769230769,1.9500000000000002
CASE_08,873cac690ffffff,center,0,2515,700,12,2.10293041749503,1.69,15.63,4.905999999999994,857,1084,574,persistent,23.74009,85.00995,3.592857142857143,13.940000000000001
CASE_08,873cac692ffffff,neighbor,1,228,222,12,0.9010087719298245,0.82,2.97,1.5829999999999995,57,89,82,persistent,23.74009,85.00995,1.027027027027027,2.1500000000000004
CASE_08,873cac693ffffff,neighbor,1,1,1,1,1.17,1.17,1.17,1.17,1,0,0,persistent,23.74009,85.00995,1.0,0.0
CASE_08,873cac694ffffff,neighbor,1,149,136,10,1.5430872483221476,1.29,8.56,3.018,24,70,55,persistent,23.74009,85.00995,1.0955882352941178,7.2700000000000005
CASE_08,873cac695ffffff,neighbor,1,1,1,1,1.69,1.69,1.69,1.69,0,1,0,persistent,23.74009,85.00995,1.0,0.0
CASE_08,873cac696ffffff,neighbor,1,39,36,7,1.4102564102564104,1.23,4.48,3.1470000000000002,25,10,4,persistent,23.74009,85.00995,1.0833333333333333,3.2500000000000004
CASE_09,8760a1b88ffffff,center,0,2900,712,12,2.78661724137931,2.35,14.66,6.431499999999992,882,1097,921,persistent,15.17929,76.66086,4.073033707865169,12.31
CASE_09,8760a1b89ffffff,neighbor,1,551,431,12,2.2026315789473685,1.96,11.23,4.225,193,202,156,persistent,15.17929,76.66086,1.2784222737819027,9.27
CASE_09,8760a1b8bffffff,neighbor,1,524,333,12,2.0756297709923666,1.8050000000000002,9.3,4.643499999999996,179,200,145,persistent,15.17929,76.66086,1.5735735735735736,7.495000000000001
CASE_09,8760a1b8cffffff,neighbor,1,336,237,12,1.6441666666666668,1.28,13.41,3.7025,101,164,71,persistent,15.17929,76.66086,1.4177215189873418,12.13
CASE_09,8760a1b8effffff,neighbor,1,118,99,12,2.138135593220339,1.78,9.48,4.623,3,86,29,persistent,15.17929,76.66086,1.1919191919191918,7.7
CASE_10,87608b8a6ffffff,center,0,2662,730,12,2.8840045078888057,2.32,12.44,6.878999999999996,1022,898,742,persistent,18.69005,73.03983,3.6465753424657534,10.12
CASE_10,87608b8a0ffffff,neighbor,1,839,514,12,2.1825625744934447,1.85,10.11,4.443999999999996,354,279,206,persistent,18.69005,73.03983,1.632295719844358,8.26
CASE_10,87608b8a2ffffff,neighbor,1,341,283,12,1.9901173020527858,1.74,5.39,3.51,122,131,88,persistent,18.69005,73.03983,1.204946996466431,3.6499999999999995
CASE_11,873c84853ffffff,center,0,475,271,11,2.0757052631578947,1.57,8.97,5.341999999999989,0,111,364,spike,22.10955,83.11997,1.7527675276752768,7.4
CASE_12,873c5a88cffffff,center,0,8,8,4,0.5075000000000001,0.555,0.77,0.7104999999999999,0,0,8,spike,27.46038,95.47127,1.0,0.21499999999999997
CASE_12,873c5a88dffffff,neighbor,1,145,117,12,1.3319999999999999,1.11,4.19,2.988,12,3,130,spike,27.46038,95.47127,1.2393162393162394,3.08
CASE_12,873c5a8abffffff,neighbor,1,12,12,5,1.0258333333333332,0.6100000000000001,4.02,3.0244999999999984,0,0,12,spike,27.46038,95.47127,1.0,3.4099999999999993
