case_id,case_type,latitude,longitude,h3_cell,n,active_days,mean_frp,median_frp,max_frp,2022,2023,2024,base_monthly,cur_monthly,count_ratio,p95_ratio,spike_score,context_type,context_confidence,facility_name,facility_type,facility_distance_m,industrial_context_score,mining_context_score,industrial_polygon_overlap_osm,mining_polygon_overlap,forest_polygon_overlap,agriculture_polygon_overlap,industrial_features_found,mining_features_found,forest_features_found,agriculture_features_found,nearest_industrial_name,nearest_industrial_type,nearest_industrial_distance_m,nearest_mining_name,nearest_mining_distance_m,vegetation_context,agriculture_context,context_evidence_osm,osm_elements,osm_source_osm,has_osm_context,specific_facility_identified,historical_data_available,geospatial_review_status,resolved_distance_m,has_distance_data,base_risk_score,has_confident_context,_spike_component,_context_component,trend_ratio,trend_label,corroboration_score,corroboration_report_count,corroboration_confirmed_count,risk_score,risk_tier,probability_breakdown,explainability
CASE_01,persistent,23.77988,86.38999,873ca9c86ffffff,3821.0,813.0,2.926445956555876,2.28,18.53,1140.0,1330.0,1351.0,102.91666666666669,112.58333333333331,1.0938359488755864,1.224859576010147,0.5909719329222378,mining_quarry,0.6,Mining/quarry area,mining_quarry,,0.25,0.6,False,True,False,False,0,0,0,0,,,,,,none,none,Hotspot overlaps an OSM quarry/mine polygon,4,OpenStreetMap via Overpass API,True,True,True,mining_quarry_candidate,,False,52.2,True,29.54859664611189,60.0,1.093927125506073,stable,0.0,0,0,52.2,Medium,"{'escalating': np.float64(0.3), 'persistent_industrial': np.float64(0.42), 'unclassified': np.float64(0.28)}","{'spike_score': 0.591, 'mean_frp_mw': 2.93, 'trend': 'stable', 'context_type': 'mining_quarry', 'context_confidence': 0.6, 'polygon_overlap_note': 'Hotspot overlaps an OSM industrial/mining land-use polygon', 'proximity_note': 'Distance data not yet available (pending fix - flagged to team)', 'crowdsource_note': 'No community reports yet - absence is not evidence of absence', 'probability_breakdown': {'escalating': np.float64(0.3), 'persistent_industrial': np.float64(0.42), 'unclassified': np.float64(0.28)}}"
CASE_02,persistent,21.92001,83.35004,873c84a90ffffff,2724.0,796.0,3.6162555066079296,3.08,17.39,923.0,969.0,832.0,78.83333333333333,69.33333333333333,0.8796452702702703,0.8865877100514665,0.40059244629953,unknown,0.0,,,,0.25,0.0,True,False,False,False,0,0,0,0,,,,,,none,none,Hotspot coordinate overlaps an OSM industrial polygon,3,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review,,False,48.5,False,20.0296223149765,0.0,0.879492600422833,stable,0.0,1,0,48.5,Medium,"{'escalating': np.float64(0.2), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.8)}","{'spike_score': 0.401, 'mean_frp_mw': 3.62, 'trend': 'stable', 'context_note': ""No confident OSM context identified within search radius - treated as missing evidence, not as 'non-industrial'"", 'polygon_overlap_note': 'Hotspot overlaps an OSM industrial/mining land-use polygon', 'proximity_note': 'Distance data not yet available (pending fix - flagged to team)', 'crowdsource_note': '0/1 nearby reports confirmed activity (corroboration score 0.0)', 'probability_breakdown': {'escalating': np.float64(0.2), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.8)}}"
CASE_03,persistent,20.96012,85.17001,873c817b2ffffff,2269.0,739.0,3.303129131776113,2.72,20.43,832.0,928.0,509.0,73.33333333333333,42.41666666666666,0.5789832047208353,0.9074394191784269,0.2949717498779184,mining_quarry,0.6,Mining/quarry area,mining_quarry,,0.25,0.6,False,True,False,False,0,0,0,0,,,,,,none,none,Hotspot overlaps an OSM quarry/mine polygon,3,OpenStreetMap via Overpass API,True,True,True,mining_quarry_candidate,,False,47.8,True,14.74858749389592,60.0,0.5784090909090909,decreasing,0.0,0,0,47.8,Medium,"{'escalating': np.float64(0.15), 'persistent_industrial': np.float64(0.51), 'unclassified': np.float64(0.34)}","{'spike_score': 0.295, 'mean_frp_mw': 3.3, 'trend': 'decreasing', 'context_type': 'mining_quarry', 'context_confidence': 0.6, 'polygon_overlap_note': 'Hotspot overlaps an OSM industrial/mining land-use polygon', 'proximity_note': 'Distance data not yet available (pending fix - flagged to team)', 'crowdsource_note': 'No community reports yet - absence is not evidence of absence', 'probability_breakdown': {'escalating': np.float64(0.15), 'persistent_industrial': np.float64(0.51), 'unclassified': np.float64(0.34)}}"
CASE_04,persistent,23.17003,82.34002,873ca0402ffffff,1974.0,742.0,2.5618642350557246,2.08,12.98,790.0,458.0,726.0,52.0,60.5,1.163147792706334,1.2168697107783877,0.6142395140827955,mining_quarry,0.6,Mining/quarry area,mining_quarry,,0.35,0.6,False,True,False,False,0,0,0,0,,,,,,none,none,Hotspot overlaps an OSM quarry/mine polygon,2,OpenStreetMap via Overpass API,True,True,True,mining_quarry_candidate,,False,50.6,True,30.71197570413978,60.0,1.1634615384615385,increasing,0.0,0,0,50.6,Medium,"{'escalating': np.float64(0.31), 'persistent_industrial': np.float64(0.42), 'unclassified': np.float64(0.28)}","{'spike_score': 0.614, 'mean_frp_mw': 2.56, 'trend': 'increasing', 'context_type': 'mining_quarry', 'context_confidence': 0.6, 'polygon_overlap_note': 'Hotspot overlaps an OSM industrial/mining land-use polygon', 'proximity_note': 'Distance data not yet available (pending fix - flagged to team)', 'crowdsource_note': 'No community reports yet - absence is not evidence of absence', 'probability_breakdown': {'escalating': np.float64(0.31), 'persistent_industrial': np.float64(0.42), 'unclassified': np.float64(0.28)}}"
CASE_05,persistent,22.79002,86.20011,873cabc1affffff,1708.0,692.0,2.6574590163934424,2.14,17.31,622.0,574.0,512.0,49.833333333333336,42.66666666666666,0.856475300400534,0.8657594415467283,0.3858508347996907,unknown,0.0,,,,0.25,0.0,True,False,False,False,0,0,0,0,,,,,,none,none,Hotspot coordinate overlaps an OSM industrial polygon,4,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review,,False,40.9,False,19.292541739984532,0.0,0.8561872909698997,stable,0.0,0,0,40.9,Medium,"{'escalating': np.float64(0.19), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.81)}","{'spike_score': 0.386, 'mean_frp_mw': 2.66, 'trend': 'stable', 'context_note': ""No confident OSM context identified within search radius - treated as missing evidence, not as 'non-industrial'"", 'polygon_overlap_note': 'Hotspot overlaps an OSM industrial/mining land-use polygon', 'proximity_note': 'Distance data not yet available (pending fix - flagged to team)', 'crowdsource_note': 'No community reports yet - absence is not evidence of absence', 'probability_breakdown': {'escalating': np.float64(0.19), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.81)}}"
CASE_06,persistent,21.11006,72.63004,8742d9d2effffff,1694.0,647.0,4.371434474616293,3.32,35.99,849.0,626.0,219.0,61.458333333333336,18.25,0.2980912413699743,0.5310713163682061,0.1111328038512403,unknown,0.0,,,,0.25,0.0,True,False,False,False,0,0,0,0,,,,,,none,none,Hotspot coordinate overlaps an OSM industrial polygon,3,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review,,False,45.9,False,5.556640192562015,0.0,0.29694915254237286,decreasing,0.0,0,0,45.9,Medium,"{'escalating': np.float64(0.06), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.94)}","{'spike_score': 0.111, 'mean_frp_mw': 4.37, 'trend': 'decreasing', 'context_note': ""No confident OSM context identified within search radius - treated as missing evidence, not as 'non-industrial'"", 'polygon_overlap_note': 'Hotspot overlaps an OSM industrial/mining land-use polygon', 'proximity_note': 'Distance data not yet available (pending fix - flagged to team)', 'crowdsource_note': 'No community reports yet - absence is not evidence of absence', 'probability_breakdown': {'escalating': np.float64(0.06), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.94)}}"
CASE_07,persistent,22.38007,87.28001,873c8d8aeffffff,1474.0,706.0,2.530705563093623,2.11,13.8,378.0,460.0,636.0,34.916666666666664,53.0,1.5164207520228463,1.481253841425937,0.8386415607687244,unknown,0.0,,,,0.0,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,4,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review,,False,43.0,False,41.932078038436224,0.0,1.5178997613365155,increasing,0.0,0,0,43.0,Medium,"{'escalating': np.float64(0.42), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.58)}","{'spike_score': 0.839, 'mean_frp_mw': 2.53, 'trend': 'increasing', 'context_note': ""No confident OSM context identified within search radius - treated as missing evidence, not as 'non-industrial'"", 'proximity_note': 'Distance data not yet available (pending fix - flagged to team)', 'crowdsource_note': 'No community reports yet - absence is not evidence of absence', 'probability_breakdown': {'escalating': np.float64(0.42), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.58)}}"
CASE_08,persistent,23.74009,85.00995,873cac690ffffff,1534.0,655.0,2.248722294654498,1.81,15.63,425.0,618.0,491.0,43.458333333333336,40.91666666666666,0.941649129519801,1.1367706664153086,0.5038212763327388,unknown,0.0,,,,0.15,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,2,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review,,False,31.3,False,25.191063816636937,0.0,0.9415148609779482,stable,0.0,0,0,31.3,Low,"{'escalating': np.float64(0.25), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.75)}","{'spike_score': 0.504, 'mean_frp_mw': 2.25, 'trend': 'stable', 'context_note': ""No confident OSM context identified within search radius - treated as missing evidence, not as 'non-industrial'"", 'proximity_note': 'Distance data not yet available (pending fix - flagged to team)', 'crowdsource_note': 'No community reports yet - absence is not evidence of absence', 'probability_breakdown': {'escalating': np.float64(0.25), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.75)}}"
CASE_09,persistent,15.17929,76.66086,8760a1b88ffffff,1261.0,631.0,2.7761379857256148,2.43,14.66,398.0,493.0,370.0,37.125,30.83333333333333,0.8309827624804119,1.0296833203900253,0.4281631040204475,unknown,0.0,,,,0.35,0.0,False,False,False,False,0,0,0,0,,,,,,none,none,No strong OSM geographic context found within search radius,14,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review,,False,33.0,False,21.408155201022375,0.0,0.8305274971941639,decreasing,0.0,0,0,33.0,Low,"{'escalating': np.float64(0.21), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.79)}","{'spike_score': 0.428, 'mean_frp_mw': 2.78, 'trend': 'decreasing', 'context_note': ""No confident OSM context identified within search radius - treated as missing evidence, not as 'non-industrial'"", 'proximity_note': 'Distance data not yet available (pending fix - flagged to team)', 'crowdsource_note': 'No community reports yet - absence is not evidence of absence', 'probability_breakdown': {'escalating': np.float64(0.21), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.79)}}"
CASE_10,persistent,18.69005,73.03983,87608b8a6ffffff,1289.0,605.0,2.729689681923972,2.25,11.51,433.0,460.0,396.0,37.208333333333336,33.0,0.8872012508376145,0.8469850121993733,0.3896653960735856,unknown,0.0,,,,0.35,0.0,True,False,False,False,0,0,0,0,,,,,,none,none,Hotspot coordinate overlaps an OSM industrial polygon,6,OpenStreetMap via Overpass API,False,False,True,requires_geospatial_review,,False,41.6,False,19.483269803679278,0.0,0.8868980963045913,stable,0.0,0,0,41.6,Medium,"{'escalating': np.float64(0.19), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.81)}","{'spike_score': 0.39, 'mean_frp_mw': 2.73, 'trend': 'stable', 'context_note': ""No confident OSM context identified within search radius - treated as missing evidence, not as 'non-industrial'"", 'polygon_overlap_note': 'Hotspot overlaps an OSM industrial/mining land-use polygon', 'proximity_note': 'Distance data not yet available (pending fix - flagged to team)', 'crowdsource_note': 'No community reports yet - absence is not evidence of absence', 'probability_breakdown': {'escalating': np.float64(0.19), 'persistent_industrial': np.float64(0.0), 'unclassified': np.float64(0.81)}}"
